央视频道,#genre#
CCTV4,http://61.187.148.168:4022/rtp/239.76.246.154:1234
CCTV4,http://61.187.148.168:4022/rtp/239.76.253.154:9000
CCTV4,http://121.230.33.64:8000/rtp/239.49.8.131:6000
CCTV4,http://121.230.33.64:8000/rtp/239.49.1.4:6000
CCTV4,http://123.117.175.121:8118/rtp/239.3.1.105:8092
CCTV4,http://113.233.42.243:8866/rtp/232.0.0.201:1234
CCTV4,http://113.120.108.132:4000/rtp/239.21.1.4:5002
CCTV4,http://183.164.37.9:4022/rtp/238.1.78.236:7760
CCTV4,http://60.13.87.224:4022/rtp/239.254.96.180:7092
CCTV4,http://60.13.87.224:4022/rtp/239.254.96.4:7016
CCTV4,http://171.83.38.8:8888/rtp/239.69.1.138:10466
CCTV4,http://171.83.38.8:8888/rtp/239.254.96.155:9004
CCTV4,http://180.122.53.38:4022/rtp/239.49.8.131:6000
CCTV4,http://180.122.53.38:4022/rtp/239.49.1.4:6000
CCTV4,http://111.193.230.175:8888/rtp/239.3.1.105:8092
CCTV4,http://117.91.60.238:8800/rtp/239.49.8.131:6000
CCTV4,http://117.91.60.238:8800/rtp/239.49.1.4:6000
CCTV4,http://114.249.13.164:4022/rtp/239.3.1.105:8092
CCTV4,http://123.160.206.31:8009/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://123.13.158.206:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://114.241.106.76:85/tsfile/live/4/1004_1.m3u8?key=txiptv
CCTV4,http://114.241.106.139:85/tsfile/live/4/1004_1.m3u8?key=txiptv
CCTV4,http://139.227.221.179:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://113.195.9.171:85/tsfile/live/1158_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://175.22.10.193:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://59.174.160.132:7777/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://221.232.199.200:7777/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://110.72.78.203:8181/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4亚洲,http://120.0.44.202:9999/rtp/239.253.92.251:6141
CCTV4欧洲,http://27.18.153.170:8888/rtp/239.69.1.231:11028
CCTV4欧洲,http://123.112.162.134:4022/rtp/239.3.1.213:4220
CCTV4欧洲,http://36.46.98.88:8010/rtp/239.111.205.83:5140
CCTV4欧洲,http://123.112.208.143:4022/rtp/239.3.1.213:4220
CCTV4欧洲,http://61.187.148.168:4022/rtp/239.76.246.95:1234
CCTV4欧洲,http://61.187.148.168:4022/rtp/239.76.253.95:9000
CCTV4欧洲,http://123.117.175.121:8118/rtp/239.3.1.213:4220
CCTV4欧洲,http://113.233.42.243:8866/rtp/232.0.0.53:1234
CCTV4欧洲,http://113.120.108.132:4000/rtp/239.21.2.28:5002
CCTV4欧洲,http://171.83.38.8:8888/rtp/239.69.1.231:11028
CCTV4欧洲,http://111.193.230.175:8888/rtp/239.3.1.213:4220
CCTV4欧洲,http://120.0.44.202:9999/rtp/239.253.93.192:6370
CCTV4欧洲,http://114.249.13.164:4022/rtp/239.3.1.213:4220
CCTV4美洲,http://27.18.153.170:8888/rtp/239.69.1.232:11034
CCTV4美洲,http://123.112.162.134:4022/rtp/239.3.1.214:4220
CCTV4美洲,http://36.46.98.88:8010/rtp/239.111.205.84:5140
CCTV4美洲,http://123.112.208.143:4022/rtp/239.3.1.214:4220
CCTV4美洲,http://61.187.148.168:4022/rtp/239.76.253.96:9000
CCTV4美洲,http://61.187.148.168:4022/rtp/239.76.246.96:1234
CCTV4美洲,http://123.117.175.121:8118/rtp/239.3.1.214:4220
CCTV4美洲,http://113.233.42.243:8866/rtp/232.0.0.59:1234
CCTV4美洲,http://171.83.38.8:8888/rtp/239.69.1.232:11034
CCTV4美洲,http://111.193.230.175:8888/rtp/239.3.1.214:4220
CCTV4美洲,http://120.0.44.202:9999/rtp/239.253.93.193:6371
CCTV4美洲,http://114.249.13.164:4022/rtp/239.3.1.214:4220
CCTV5,http://27.10.95.231:4022/rtp/225.0.4.143:7980
CCTV5,http://27.10.95.231:4022/rtp/225.0.4.139:7980
CCTV5,http://113.241.133.180:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://180.157.180.130:8889/rtp/233.18.204.71:5140
CCTV5,http://180.157.180.130:8889/rtp/233.18.204.24:5140
CCTV5,http://27.18.153.170:8888/rtp/239.69.1.123:10376
CCTV5,http://124.165.251.82:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://116.77.33.98:44330/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://61.178.227.57:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://124.116.183.146:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://123.113.104.82:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://123.112.162.134:4022/rtp/239.3.1.173:8001
